name,type,start_time,duration
"Test Analyzer","error",0.2968837,0.0027564
"Test Analyzer","enable",0.3011282,0.0000001
"Test Analyzer","disable",0.3039397,0.0000001
"Test Analyzer","enable",0.3041193,0.0000001
"Test Analyzer","disable",0.3054684,0.0000001
"Test Analyzer","error",0.30868,0.001582
"Test Analyzer","enable",0.31333,0.0000001
"Test Analyzer","disable",0.3133387,0.0000001
"Test Analyzer","error",0.3150054,0.0014851
"Test Analyzer","enable",0.317822,0.0000001
"Test Analyzer","disable",0.3207956,0.0000001
"Test Analyzer","error",0.3238615,0.0016096
"Test Analyzer","enable",0.3261674,0.0000001
"Test Analyzer","disable",0.3282974,0.0000001
"Test Analyzer","error",0.3287235,0.0014898
"Test Analyzer","error",0.3321271,0.0025723
"Test Analyzer","error",0.3359357,0.0025734
"Test Analyzer","error",0.3401093,0.0013604
"Test Analyzer","error",0.3428956,0.0012428
"Test Analyzer","error",0.3451293,0.0027613
"Test Analyzer","enable",0.3483891,0.0000001
"Test Analyzer","disable",0.349003,0.0000001
"Test Analyzer","error",0.3507563,0.0014727
"Test Analyzer","enable",0.3543944,0.0000001
"Test Analyzer","disable",0.3547224,0.0000001
"Test Analyzer","error",0.3563946,0.0024656
"Test Analyzer","enable",0.3604875,0.0000001
"Test Analyzer","disable",0.3618854,0.0000001
"Test Analyzer","enable",0.3622694,0.0000001
"Test Analyzer","disable",0.3636552,0.0000001
"Test Analyzer","error",0.3652193,0.0014753
"Test Analyzer","error",0.3680294,0.0003748
"Test Analyzer","enable",0.3711921,0.0000001
"Test Analyzer","disable",0.3735587,0.0000001
"Test Analyzer","error",0.3755392,0.0021497
"Test Analyzer","error",0.3782027,0.0016512
"Test Analyzer","enable",0.3804915,0.0000001
"Test Analyzer","disable",0.3824605,0.0000001
"Test Analyzer","error",0.3839299,0.0000745
"Test Analyzer","enable",0.3844605,0.0000001
"Test Analyzer","disable",0.3862174,0.0000001
"Test Analyzer","error",0.3893337,0.0005341
"Test Analyzer","enable",0.3909363,0.0000001
"Test Analyzer","disable",0.3940741,0.0000001
