Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11
10.394848000,1,1,1,0,0,0,0,1,0,0,0,0
10.394926000,1,1,1,0,0,0,0,1,0,0,0,1
10.395426000,1,1,1,0,0,0,0,1,0,0,0,0
10.395843000,0,0,0,0,0,0,0,0,0,0,0,0
10.395848000,1,1,1,1,1,1,1,0,0,0,0,0
10.395926000,1,1,1,1,1,1,1,0,0,0,0,1
10.396426000,1,1,1,1,1,1,1,0,0,0,0,0
10.396843000,0,0,0,0,0,0,0,0,0,0,0,0
10.396848000,1,1,1,1,1,1,1,0,0,0,0,0
10.396926000,1,1,1,1,1,1,1,0,0,0,0,1
10.397426000,1,1,1,1,1,1,1,0,0,0,0,0
10.397843000,0,0,0,0,0,0,0,0,0,0,0,0
10.397848000,1,1,1,1,1,1,1,0,0,0,0,0
10.397926000,1,1,1,1,1,1,1,0,0,0,0,1
10.398426000,1,1,1,1,1,1,1,0,0,0,0,0
10.398843000,0,0,0,0,0,0,0,0,0,0,0,0
10.398848000,1,1,1,1,1,1,1,0,0,0,0,0
10.398926000,1,1,1,1,1,1,1,0,0,0,0,1
10.399426000,1,1,1,1,1,1,1,0,0,0,0,0
10.399843000,0,0,0,0,0,0,0,0,0,0,0,0
10.399848000,1,1,1,1,1,1,1,0,0,0,0,0
10.399926000,1,1,1,1,1,1,1,0,0,0,0,1
10.400426000,1,1,1,1,1,1,1,0,0,0,0,0
10.400843000,0,0,0,0,0,0,0,0,0,0,0,0
10.400848000,1,1,1,1,1,1,1,0,0,0,0,0
10.400926000,1,1,1,1,1,1,1,0,0,0,0,1
10.401426000,1,1,1,1,1,1,1,0,0,0,0,0
10.401843000,0,0,0,0,0,0,0,0,0,0,0,0
10.401848000,1,1,1,1,1,1,1,0,0,0,0,0
10.401926000,1,1,1,1,1,1,1,0,0,0,0,1
10.402426000,1,1,1,1,1,1,1,0,0,0,0,0
10.402843000,0,0,0,0,0,0,0,0,0,0,0,0
10.402848000,0,1,1,1,1,1,1,0,0,0,0,0
10.402926000,0,1,1,1,1,1,1,0,0,0,0,1
