FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.02,0.004,22.596070271369882,31.939843476459316,25.342581813733588,
0.02,0.005,25.045879325209846,37.13016819014775,27.120816289709175,
0.02,0.006666666666666666,27.927169208640343,41.61550082349389,29.39782172155972,
0.02,0.008333333333333333,30.215884313879876,42.20696353591843,31.36665628241172,
0.02,0.009999999999999998,32.02625113258753,45.98149886946672,33.021914689456835,
0.02,0.011666666666666665,33.0520419104847,45.176152952316194,34.01063876055423,
0.02,0.013000000000000001,34.21759006172666,47.805169264288665,34.86069601053015,
0.02,0.013333333333333332,34.51248475186678,48.052601840375786,35.168371341961574,
0.02,0.015,35.74761031130284,51.56655690746155,36.278751736230234,
0.02,0.016666666666666666,36.65713599497073,50.10870801658137,37.23859312304803,
0.02,0.018333333333333333,37.5384499052124,52.25984286349474,37.98199323971521,
0.02,0.019,37.466176122353275,50.45453697418893,38.161325576804956,
0.02,0.02,37.053975989500834,46.85582154030351,38.562894591254846,
0.02,0.022000000000000002,28.77286248849213,35.26366449525122,39.73414716821604,
0.02,0.022000000000000002,28.77286248849213,35.26366449525122,39.73414716821604,
0.02,0.031000000000000003,11.581289794966668,12.226249180865075,38.893873102078324,
0.02,0.04,7.69556977280719,7.929610198527129,37.469376266903154,
0.03,0.004,26.571553808425847,38.572128514131805,27.39315439304257,
0.03,0.005,28.628502680405457,39.22820224845437,29.33699151968647,
0.03,0.0077777777777777776,30.49217611283133,39.0667706443833,32.19760680174293,
0.03,0.010555555555555554,34.071604628853635,47.71031638888686,34.68907690290051,
0.03,0.013000000000000001,35.99812708993256,51.78995105710946,36.559313186317326,
0.03,0.013333333333333332,36.3185475196851,52.35923294530311,36.88929687644836,
0.03,0.01611111111111111,37.94385692280199,54.52697698050498,38.31960869651182,
0.03,0.01888888888888889,39.35565946853459,56.16959820484281,39.712172579020084,
0.03,0.021666666666666664,40.14276065326663,58.38080605208379,40.340821532309235,
0.03,0.022000000000000002,40.26922036868147,57.67996161112244,40.49008991123305,
0.03,0.024444444444444442,41.427763128740494,59.44137522052242,41.58363683220622,
0.03,0.02722222222222222,42.30931061741516,59.53202687444035,42.48705607563284,
0.03,0.028499999999999998,42.232757222178144,57.43633746399834,42.71192014178206,
0.03,0.03,41.31728456613223,50.133008013556534,42.83770172186983,
0.03,0.031000000000000003,41.42365317065398,48.831454483145656,43.5415927834936,
0.03,0.033,27.861396492761603,33.362762990017494,43.88242424241675,
0.03,0.04,15.260016496333515,16.65325604670094,42.29418232986416,
0.04,0.004,27.655509426271085,43.734243779042046,28.117990679194126,
0.04,0.005,29.587431258326504,43.57995775247283,30.01257115243678,
0.04,0.008888888888888889,34.28658820948223,49.37165036361679,34.80738629673479,
0.04,0.012777777777777779,36.656481396712614,50.87136293395639,37.37889994951372,
0.04,0.013000000000000001,36.86099289150406,52.59954824237127,37.51878914168411,
0.04,0.016666666666666666,39.0312217320396,54.61302539349169,39.62017871861348,
0.04,0.020555555555555556,41.05382315975604,56.4116883556392,41.432877857979555,
0.04,0.022000000000000002,41.610287777148415,57.354840030251715,41.94735507576375,
0.04,0.024444444444444446,42.4395455961782,55.814736240902114,42.723210432749624,
0.04,0.028333333333333335,43.57577679754644,59.67402792938186,43.86805726911969,
0.04,0.031000000000000003,44.4390720474583,59.54339941256386,44.700517389466924,
0.04,0.03222222222222222,44.67785394135872,61.7804812226009,44.92978982050299,
0.04,0.036111111111111115,45.70532400848631,63.77333606185305,45.912812670396185,
0.04,0.038,45.38708926549863,56.26247532331085,46.192399817272715,
0.04,0.04,43.89988250744568,49.92543116182482,46.59659460956764,
0.04,0.04,43.89988250744568,49.92543116182482,46.59659460956764,
0.04,0.044000000000000004,25.484603052866056,29.847667244400473,46.00546132279845,
0.05,0.004,27.872794160870683,45.646889259380224,28.113273754636303,
0.05,0.005,29.964013767352675,46.90816045115996,30.16299600434019,
0.05,0.010000000000000002,35.76763002813992,52.37363762132762,35.92987523844427,
0.05,0.013000000000000001,38.15951868765087,59.84438662359911,38.30127722551182,
0.05,0.015000000000000003,39.24110129780449,56.682884407166824,39.3835247043546,
0.05,0.020000000000000004,41.32994602620582,53.6346022066459,41.761287266064855,
0.05,0.022000000000000002,42.119562893893345,55.792923109384986,42.508555936099334,
0.05,0.025000000000000005,43.286931359679684,57.16826180509403,43.63580685534708,
0.05,0.030000000000000006,44.85861109369645,60.484118968402804,45.14521433492044,
0.05,0.031000000000000003,45.09830905877579,60.155597240759974,45.38184415256825,
0.05,0.035,46.080000949596496,62.6512509395858,46.33637855999972,
0.05,0.04,47.13915965989006,63.07165698993065,47.35832617872254,
0.05,0.04,47.13915965989006,63.07165698993065,47.35832617872254,
0.05,0.045000000000000005,48.28603392291096,67.15280394137444,48.475243025178784,
0.05,0.0475,47.79527158050988,59.38320242803823,48.58217006163184,
0.05,0.05,46.46924605427964,52.75505832105572,49.05709919496644,
0.05,0.05500000000000001,25.324734418493083,29.50985530418562,47.23339041916393,
0.06,0.004,27.37029126727631,42.211021684490305,27.626181363983235,
0.06,0.005,29.36694491770441,47.76032372949187,29.576523162624913,
0.06,0.011111111111111112,36.354811952389724,55.755595841774735,36.52915188634091,
0.06,0.013000000000000001,37.525401966415394,57.69852539955524,37.69765923862159,
0.06,0.017222222222222222,40.01589034654505,59.88813397530362,40.145169133016346,
0.06,0.022000000000000002,42.08895258956027,63.31301922082277,42.21137090176332,
0.06,0.023333333333333334,42.33338977515764,59.74647426994746,42.572337784498956,
0.06,0.029444444444444447,44.32004094973975,59.21868448359215,44.57917429636304,
0.06,0.031000000000000003,44.627990069034354,60.838254443437265,44.906241912298135,
0.06,0.035555555555555556,45.93393292651395,64.08754601281663,46.206677562853656,
0.06,0.04,46.968343269132475,64.61478042773831,47.19580055024306,
0.06,0.041666666666666664,47.24950966299012,61.704610790814144,47.5617879735023,
0.06,0.04777777777777778,48.314824625629655,67.27070780826443,48.498194579550045,
0.06,0.05388888888888889,49.3839019042684,68.08808266274262,49.559109280136,
0.06,0.056999999999999995,49.347385689032436,63.97959541302609,49.88983936080192,
0.06,0.06,48.1757723676738,55.5692075244853,50.408413632638826,
0.06,0.066,25.466937577822662,29.607162162606706,47.88348846765183,
0.08,0.004,27.14457532867304,43.87189165633712,27.385450321720203,
0.08,0.005,28.83408484932492,44.46486509636872,29.059588784085054,
0.08,0.013000000000000001,37.124241370320476,52.349052089693934,37.41915936878855,
0.08,0.013333333333333332,37.34952096876134,53.24436426639067,37.6116908466606,
0.08,0.021666666666666667,41.4576620921336,58.23247483588409,41.680552832202544,
0.08,0.022000000000000002,41.73626906065989,58.93255257289466,41.940477942952924,
0.08,0.030000000000000002,44.27690920283827,64.5373834835262,44.44604508873053,
0.08,0.031000000000000003,44.511325345924305,65.0426391125907,44.66791433477036,
0.08,0.03833333333333333,45.941288839876115,57.04764225722332,46.47884619400865,
0.08,0.04,46.396611949850865,59.643359437089515,46.86590739055083,
0.08,0.04666666666666666,47.852523967291695,63.04672745545954,48.24851709403337,
0.08,0.055,49.26471311962439,64.04955970579815,49.60570724698797,
0.08,0.06333333333333334,50.506983690631195,66.48498629945358,50.816390859872484,
0.08,0.07166666666666667,51.480681501947394,64.99712252678583,51.800157134625415,
0.08,0.076,51.42385223334634,65.56035879629113,52.02236435919833,
0.08,0.08,50.54806612526632,58.925973928932976,52.44029312727764,
0.08,0.08800000000000001,25.227645777977024,29.239528210742765,48.771056525457446,
0.1,0.004,26.309253293436697,42.585071708069165,26.51853249161522,
0.1,0.005,28.64209967132936,48.22847019910019,28.814003600262026,
0.1,0.013000000000000001,36.60186622134095,56.29142168988139,36.76471379837473,
0.1,0.015555555555555555,38.32444963080009,55.1067051855883,38.53908693622138,
0.1,0.022000000000000002,40.96645748333393,56.77403389570221,41.21573896278767,
0.1,0.026111111111111113,42.52186520580448,61.13001937150669,42.718599390630885,
0.1,0.031000000000000003,44.01932016768312,61.56832953567587,44.20219512752443,
0.1,0.03666666666666667,45.60359744107873,62.93819582711506,45.81927619045595,
0.1,0.04,46.19627452584957,68.40687245620055,46.321233587309756,
0.1,0.04722222222222222,47.368627874293885,58.4854242015589,47.959404918432504,
0.1,0.057777777777777775,49.087995919141264,62.156129272474466,49.56980109457072,
0.1,0.06833333333333334,50.16999861905538,63.080186401360464,50.58553593059926,
0.1,0.0788888888888889,51.74388738761418,66.8809642484639,52.10004207372964,
0.1,0.08944444444444445,52.85466591301051,65.73462711386102,53.22842968735661,
0.1,0.095,52.89318491386601,67.83340697162176,53.43496956137092,
0.1,0.1,52.254488405020055,61.32128868624601,53.86187744347902,
0.1,0.11000000000000001,25.046515953350394,28.95053741219897,49.196163900936554,
0.12,0.004,26.115389575462565,43.73651706036851,26.247627815801433,
0.12,0.005,27.91322471119411,43.273774737676,28.187611826178642,
0.12,0.013000000000000001,36.28928854101173,56.25502267415905,36.42520797601571,
0.12,0.017777777777777778,38.8621871373772,58.41166499880897,38.9626071781903,
0.12,0.022000000000000002,40.682883327229504,62.11270822336627,40.80067797310137,
0.12,0.030555555555555555,43.53255405459659,60.64123174685702,43.71725288966475,
0.12,0.031000000000000003,43.601372786461035,61.882362057044666,43.82575457721764,
0.12,0.04,45.98905701959112,66.05127491791043,46.17868679872221,
0.12,0.04333333333333333,46.66253021523113,70.67926068170932,46.78896755295072,
0.12,0.056111111111111105,48.44156330692176,61.73267724083818,48.94655252783632,
0.12,0.06888888888888889,50.046513549387285,62.48411648071172,50.547813348583446,
0.12,0.08166666666666667,51.49663411023964,63.53036719845882,52.02524351134556,
0.12,0.09444444444444444,-6.369112054328495,68.087689012635,-6.3691079145455625,
0.12,0.10722222222222222,53.57944781405341,65.13610556971665,54.1197932430067,
0.12,0.11399999999999999,53.902243776251325,69.65273623649179,54.42338600539991,
0.12,0.12,53.617948383419225,63.71977056337256,54.81399000269618,
0.12,0.132,24.50589610388416,28.21306079479458,49.21360538200213,
0.14,0.004,25.864621866274874,47.63949468009979,26.0233430819088,
0.14,0.005,27.77741269472175,43.07206097039169,27.995678728077486,
0.14,0.013000000000000001,36.056714243337055,54.690844218087115,36.18246123162481,
0.14,0.02,39.66359301953699,58.215491805689865,39.792389917951226,
0.14,0.022000000000000002,40.441194661788444,59.525876633180545,40.5495912755581,
0.14,0.031000000000000003,43.17663402534101,57.95980282661803,43.41634739493588,
0.14,0.035,44.50612691609915,60.77385053360959,44.749071601319045,
0.14,0.04,45.48177653916183,65.49029132187026,45.66120564962436,
0.14,0.05,47.55422973603955,66.19025097556217,47.73653581829288,
0.14,0.065,49.03495261138466,61.90317842771864,49.71612598782563,
0.14,0.08000000000000002,50.687362331783625,63.050119110368954,51.26025173371555,
0.14,0.09500000000000001,52.33528105475208,65.12705856387741,52.96001454035998,
0.14,0.11000000000000001,53.48031007592097,67.88298481637554,53.98840834575409,
0.14,0.125,54.08747088076869,65.14827088591868,54.807532511285004,
0.14,0.133,54.65645584246937,69.01986473487659,55.42578492588959,
0.14,0.14,54.52636153646477,64.3554399149577,55.622417119471834,
0.14,0.15400000000000003,24.752952553315026,28.490986041289446,49.55146753219158,
0.16,0.004,24.76305313325401,39.79983209415456,25.041748651433444,
0.16,0.005,26.89627213174562,43.10138253628316,27.197930600492725,
0.16,0.013000000000000001,35.16830166547887,55.60677999009606,35.370014084454326,
0.16,0.022000000000000002,39.602065595942975,61.58927261954388,39.757418221059396,
0.16,0.022222222222222223,39.94522128141972,60.241993907775594,40.12317305004445,
0.16,0.031000000000000003,42.31969884329021,60.74096243682283,42.529999316263776,
0.16,0.03944444444444444,44.74575744158387,61.31263648828116,44.995608328011905,
0.16,0.04,44.7805192296248,62.426400251778695,45.02960289977757,
0.16,0.056666666666666664,47.76063841990783,66.23310330156053,47.92604290640622,
0.16,0.07388888888888889,49.28887184096033,62.05597445585836,50.035239908861975,
0.16,0.09111111111111111,51.09624555059743,62.17895482144105,51.90514205614513,
0.16,0.10833333333333334,52.50682672967615,64.50856524233174,53.28328053144894,
