FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.12,0.004,26.335254411069485,43.4971993686292,26.482780137682713,
0.12,0.005,28.08900589234208,43.38996354134865,28.365496763620868,
0.12,0.013000000000000001,36.60433699760274,56.3780090363373,36.77605750599011,
0.12,0.017777777777777778,39.1238627922613,58.33099602634496,39.23911261872166,
0.12,0.022000000000000002,41.11393447032271,61.678607168756486,41.25277006459518,
0.12,0.030555555555555555,43.79951197660855,60.132397609964755,44.026282386133545,
0.12,0.031000000000000003,43.9755440867005,61.92623144813257,44.210789995622676,
0.12,0.04,46.21081819109524,65.61259072005879,46.417681253866036,
0.12,0.04333333333333333,46.85906060507959,70.22383766581234,46.99705022879358,
0.12,0.056111111111111105,48.56977623332719,61.795250004933976,49.09643999967699,
0.12,0.06888888888888889,50.28430443501613,62.57811351556166,50.80950756251478,
0.12,0.08166666666666667,51.71131461470153,63.700082287236846,52.23846032370602,
0.12,0.09444444444444444,52.840608842382366,67.50561384002125,53.26032986973084,
0.12,0.10722222222222222,53.82525447603829,65.31702529230309,54.35171727746497,
0.12,0.11399999999999999,54.26584996798159,69.69596646127775,54.77455957320932,
0.12,0.12,53.8442184444216,63.66184836808652,55.12993377628675,
0.12,0.132,24.456096409553062,28.15165680686445,49.27805565107895,
FS, Input, SNDR, SFDR, SNR, CIC_Bias
FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.08,0.004,26.96827009837511,39.62234043961753,27.618891306719178,
0.08,0.005,28.842465804886807,41.35476704934378,29.61821930723662,
0.08,0.013000000000000001,37.11208748658745,49.67456330820428,37.69374058991795,
0.08,0.013333333333333332,37.34191931489222,52.59703187828925,37.96209267655209,
0.08,0.021666666666666667,41.477099933014465,57.48748401776777,41.87407499061087,
0.08,0.022000000000000002,41.61560634149596,55.340047818418626,41.96741574269885,
0.08,0.030000000000000002,44.17725872494192,61.26514723728946,44.45075793303498,
0.08,0.031000000000000003,44.27860153007859,59.591463958960134,44.55856339308373,
0.08,0.03833333333333333,45.72177560704674,57.877695963631155,46.287803408161814,
0.08,0.04,46.04178960327449,56.006863432144044,46.71443957748221,
0.08,0.04666666666666666,47.462626246751604,60.45284757767296,47.965752122502614,
0.08,0.055,48.82790842952484,62.886969967154734,49.304087975071845,
0.08,0.06333333333333334,50.04283213956322,63.6343859419589,50.4854027079271,
0.08,0.07166666666666667,51.06355593303026,64.49647363805875,51.46786388749777,
0.08,0.076,50.76320884269269,61.37931917020158,51.74080786621665,
0.08,0.08,51.2358136525114,60.40604515281703,52.2269547593877,
