FS, Input, SNDR
0.005,0.004,20.72860327915486
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.005,23.02438250806969
0.005,0.0055000000000000005,4.6242338407966335
0.005,0.013000000000000001,5.115120192175011
0.005,0.022000000000000002,1.6566092913158919
0.005,0.031000000000000003,-0.03695304251828
0.005,0.04,-1.1589641517476001
0.01,0.004,14.135033111078384
0.01,0.005,16.6486114437047
0.01,0.005555555555555556,17.15388606454306
0.01,0.006111111111111111,18.38602607593786
0.01,0.006666666666666666,19.538110101703467
0.01,0.007222222222222222,20.3815347860092
0.01,0.0077777777777777776,21.283329414017636
0.01,0.008333333333333333,21.849198238293212
0.01,0.008888888888888889,22.74621820709935
0.01,0.009444444444444445,23.08497629530915
0.01,0.01,23.61550577619675
0.01,0.011000000000000001,23.820880501120474
0.01,0.013000000000000001,16.305742215977958
0.01,0.022000000000000002,6.764364028896278
0.01,0.031000000000000003,3.872823081568658
0.01,0.04,2.218224376170694
0.015,0.004,18.178923793736175
0.015,0.005,20.112265167904763
0.015,0.0061111111111111106,22.554089910951024
0.015,0.007222222222222222,24.542279295665047
0.015,0.008333333333333333,26.34486519947925
0.015,0.009444444444444443,27.499485013402186
0.015,0.010555555555555554,28.528270944103248
0.015,0.011666666666666665,29.72356552197123
0.015,0.012777777777777777,30.638241365665195
0.015,0.013000000000000001,30.791197715253084
0.015,0.013888888888888888,31.567866757746806
0.015,0.015,31.838839809320056
0.015,0.0165,26.94017192346465
0.015,0.022000000000000002,12.694353013288094
0.015,0.031000000000000003,7.292651469687738
0.015,0.04,4.870911828954513
0.02,0.004,27.53935009179216
0.02,0.005,29.289528195216835
0.02,0.006666666666666666,24.03627281697609
0.02,0.008333333333333333,27.742405714498105
0.02,0.009999999999999998,30.17463719206912
0.02,0.011666666666666665,32.024926838215954
0.02,0.013000000000000001,33.19003430607754
0.02,0.013333333333333332,33.57160375417952
0.02,0.015,34.58892604655939
0.02,0.016666666666666666,35.64812824421557
0.02,0.018333333333333333,36.49455088297123
0.02,0.02,36.044316745506094
0.02,0.022000000000000002,28.474192747859565
0.02,0.022000000000000002,28.474192747859565
0.02,0.031000000000000003,11.558873642221174
0.02,0.04,7.660586741932151
0.025,0.004,25.231578154384916
0.025,0.005,27.309150281650414
0.025,0.007222222222222222,30.811701369948064
0.025,0.009444444444444445,28.59278278767981
0.025,0.011666666666666665,32.322964443445514
0.025,0.013000000000000001,33.63245083444576
0.025,0.013888888888888888,34.41174717467
0.025,0.01611111111111111,35.9197504646013
0.025,0.018333333333333333,36.924266943830446
0.025,0.020555555555555556,38.21570515055049
0.025,0.022000000000000002,38.66559240631389
0.025,0.02277777777777778,38.93787028913428
0.025,0.025,38.40909696531887
0.025,0.027500000000000004,28.086169318610334
0.025,0.031000000000000003,18.185167413608617
