FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.02,0.0022222222222222222,-5.907428397725965,1.766452324125865,-4.446619128362143,0.809765625
0.02,0.004,-7.459783163026521,8.434724031672367,-7.434660320834418,0.809765625
0.02,0.0044444444444444444,7.394244657429516,9.528930474818559,14.831804774664143,0.809765625
0.02,0.006666666666666666,12.92588103275633,16.882614013308626,20.710357526080593,0.809765625
0.02,0.008888888888888889,16.81674041143702,20.919098564225628,24.204457556291015,0.809765625
0.02,0.011111111111111112,19.68299299542831,24.720283321737128,25.5909213225399,0.809765625
0.02,0.013000000000000001,22.035140564085246,27.01341300599951,28.309011659638585,0.809765625
0.02,0.013333333333333332,22.432362426241582,27.678711522767998,28.460597900818925,0.809765625
0.02,0.015555555555555555,24.588558002988687,29.192834626360053,30.92032624868112,0.809765625
0.02,0.017777777777777778,26.4024410063104,31.08470366577413,32.1725301866703,0.809765625
0.02,0.02,27.293945242277168,31.44704213338985,32.38542401185844,0.809765625
0.02,0.022000000000000002,28.500151283139367,34.557864340055055,34.54248595166935,0.809765625
0.02,0.022000000000000002,28.500151283139367,34.557864340055055,34.54248595166935,0.809765625
0.02,0.031000000000000003,15.468997268616459,17.235281107970103,34.99031801268133,0.809765625
0.02,0.04,11.569612430039975,12.250252744901417,36.52704731862841,0.809765625
0.03,0.003333333333333333,3.9728482109965895,6.4466394338846555,9.29957904331717,0.7919921875
0.03,0.004,6.2537713058292095,8.936232989145921,13.007755907823089,0.7919921875
0.03,0.006666666666666666,12.129798212854102,15.93204175523622,19.757726215331108,0.7919921875
0.03,0.009999999999999998,17.95624586769643,23.87780312542222,24.778097284341236,0.7919921875
0.03,0.013000000000000001,22.117048201988542,28.146028955159046,28.540631561531903,0.7919921875
0.03,0.013333333333333332,22.271417680060313,28.652117275991024,27.750530455300257,0.7919921875
0.03,0.016666666666666666,25.65545141647028,32.52931475181623,30.147920371230622,0.7919921875
0.03,0.019999999999999997,28.749732384721366,35.64910652156125,32.767949788959484,0.7919921875
0.03,0.022000000000000002,29.868537745309922,36.80429465016135,33.324007264468754,0.7919921875
0.03,0.02333333333333333,30.618501268746435,37.422554479280286,34.04159564166892,0.7919921875
0.03,0.026666666666666665,32.21039729279494,37.7491758150541,35.53231330153781,0.7919921875
0.03,0.03,33.01118188848919,37.760237987381416,36.55396276651605,0.7919921875
0.03,0.031000000000000003,33.89181522784413,38.129992273189,38.49783949875575,0.7919921875
0.03,0.033,30.40756730329829,34.76899222433818,37.8905181230521,0.7919921875
0.03,0.04,18.746478689770882,21.32206759519061,38.71196480397001,0.7919921875
0.04,0.004,6.078473427198299,8.85349171976192,12.277171706962754,0.7783203124999998
0.04,0.0044444444444444444,7.1012309441083,10.349390065405785,14.190828316234242,0.7783203124999998
0.04,0.008888888888888889,15.950255598763015,21.829112883451028,22.35619982532525,0.7783203124999998
0.04,0.013000000000000001,21.85744270900573,30.15400051250076,27.13810506549521,0.7783203124999998
0.04,0.013333333333333332,22.24180236084368,30.45666982476907,27.309233368830974,0.7783203124999998
0.04,0.017777777777777778,27.30588558535901,35.4407159752114,31.100868733038993,0.7783203124999998
0.04,0.022000000000000002,31.019871412480043,42.09213752723943,33.4779680362062,0.7783203124999998
0.04,0.022222222222222223,31.25369829863461,42.037726002553086,33.72685271796781,0.7783203124999998
0.04,0.026666666666666665,34.317886644959756,45.94655030072991,36.14347815486384,0.7783203124999998
0.04,0.031000000000000003,36.205229594753845,44.85497979821113,38.16320560984137,0.7783203124999998
0.04,0.03111111111111111,36.144685611741416,44.97283941532163,38.02263993425867,0.7783203124999998
0.04,0.035555555555555556,37.6001039326873,46.177010224100556,39.28079065566223,0.7783203124999998
0.04,0.04,38.96153216679161,45.19032165090912,41.73170515684535,0.7783203124999998
0.04,0.04,38.96153216679161,45.19032165090912,41.73170515684535,0.7783203124999998
0.04,0.044000000000000004,29.913194887210484,35.68070475490238,41.472835216224304,0.7783203124999998
0.05,0.004,5.915273174296464,8.493899777605833,12.319479219769683,0.7646484375
0.05,0.005555555555555556,9.484998447351057,14.04844249553959,16.101542725534348,0.7646484375
0.05,0.011111111111111112,19.867108285652716,27.669626773592103,25.514063725683805,0.7646484375
0.05,0.013000000000000001,22.232244422795752,29.788149110865934,27.269752219008435,0.7646484375
0.05,0.016666666666666666,26.790548056684965,36.545827665883664,29.98171901805882,0.7646484375
0.05,0.022000000000000002,31.769752924504026,45.85543207436913,33.287088844328984,0.7646484375
0.05,0.022222222222222223,32.11356811523623,45.9736180725468,33.695555712432046,0.7646484375
0.05,0.02777777777777778,36.005171847591875,47.46751662575062,36.885120860577,0.7646484375
0.05,0.031000000000000003,36.69774438136099,52.3386113911881,37.146703166304476,0.7646484375
0.05,0.03333333333333333,38.44633283834918,54.49887320579938,39.02700979930712,0.7646484375
0.05,0.03888888888888889,39.41401642381258,53.59601470074253,39.805786266537254,0.7646484375
0.05,0.04,39.86714239245986,55.25939332616403,40.16673422712547,0.7646484375
0.05,0.044444444444444446,41.08096839488319,57.96274265201817,41.43510913568454,0.7646484375
0.05,0.05,43.015651042276744,54.52455375696643,43.82027448779458,0.7646484375
0.05,0.05500000000000001,30.284777431011175,36.21794404779607,44.50679194715191,0.7646484375
