FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.02,0.004,27.81955420368947,43.9114445659038,28.045642551553605,
0.02,0.005,29.72405683799213,49.2249105738989,29.909969470052665,
0.02,0.006666666666666666,24.697088235012338,32.93595808041887,28.92995507589822,
0.02,0.008333333333333333,28.234991104498476,39.33201030681322,30.5298347137876,
0.02,0.009999999999999998,30.484430743236377,42.75367931399889,31.829561507662874,
0.02,0.011666666666666665,32.359269879380875,45.17272182994948,33.281579412466826,
0.02,0.013000000000000001,33.57234203556124,47.21465154218635,34.32814822370363,
0.02,0.013333333333333332,33.188403956006226,47.41138459436624,33.978680765625604,
0.02,0.015,34.70567538779777,48.907910770738695,35.32746226055123,
0.02,0.016666666666666666,36.03932574776941,50.589417771315105,36.612520452566294,
0.02,0.018333333333333333,36.748006885473295,50.27604726623866,37.26612635958296,
0.02,0.019,36.63427762755466,49.942598892662936,37.38642335610193,
0.02,0.02,36.39037663999001,44.55055877922355,37.976123087126055,
0.02,0.022000000000000002,28.749210883381203,35.22472017943099,39.083427102809665,
0.02,0.022000000000000002,28.749210883381203,35.22472017943099,39.083427102809665,
0.02,0.031000000000000003,11.583348080607589,12.24332057346394,38.419110876878534,
0.02,0.04,7.709044687038883,7.948420595233586,37.13522187688866,
0.03,0.004,26.63140499570408,39.64168676896664,27.349485514827997,
0.03,0.005,28.65862659056439,41.25408250850223,29.297840811983086,
0.03,0.0077777777777777776,32.52255792223424,49.50256501104824,32.92508216489055,
0.03,0.010555555555555554,35.224753312078406,51.65644202187143,35.540739750181494,
0.03,0.013000000000000001,34.83828781610066,50.04153588445944,35.69738014707748,
0.03,0.013333333333333332,34.99351293357561,47.74804920205626,35.58563376411016,
0.03,0.01611111111111111,37.378068770862726,52.30041378968605,37.80815133997879,
0.03,0.01888888888888889,38.95757750906568,52.903427356632335,39.405273821323156,
0.03,0.021666666666666664,39.93090909851133,54.77790843554917,40.4236580735201,
0.03,0.022000000000000002,39.9656559668705,55.727033396921655,40.3661504099601,
0.03,0.024444444444444442,40.838183865089235,54.94865573352228,41.17764663105185,
0.03,0.02722222222222222,41.82328189681054,56.59663938576946,42.19039315158524,
0.03,0.028499999999999998,41.79943659154327,52.96531890683539,42.38301862230021,
0.03,0.03,40.85901440735719,47.24293655959049,42.81730518287911,
0.03,0.031000000000000003,40.983135509882054,46.8928061925103,43.39082908171504,
0.03,0.033,27.890149338797052,33.43944647617627,43.68372199267047,
0.03,0.04,15.246475327871893,16.6625596753071,42.15241085619135,
0.04,0.004,26.168250106440468,39.96460241489273,26.66654985766646,
0.04,0.005,28.270278052556375,41.507898728189645,28.85948243449233,
0.04,0.008888888888888889,33.06810910002425,49.7024640499857,33.44396089463199,
0.04,0.012777777777777779,35.82200132736622,52.82400000002305,36.15256780040345,
0.04,0.013000000000000001,36.76885293349074,51.65061270179697,37.33672584104024,
0.04,0.016666666666666666,36.69004750876531,47.24772798816532,37.78397010964873,
0.04,0.020555555555555556,39.03032419928721,52.47590041824432,39.473304393302634,
0.04,0.022000000000000002,40.75015958802422,52.052684563467544,41.2735219117365,
0.04,0.024444444444444446,41.31343715540767,52.584871435959094,41.881626781616944,
0.04,0.028333333333333335,-6.36231315414293,53.860243067548986,-6.362311033492975,
0.04,0.031000000000000003,43.47433960367966,55.05317664809591,44.029624407973415,
0.04,0.03222222222222222,43.793387402376496,55.0952795901126,44.36157661587466,
0.04,0.036111111111111115,44.52618332133278,56.48383543395386,45.031664451732134,
0.04,0.038,44.95323158281959,55.44350578302314,45.572692695826184,
0.04,0.04,43.5969498459971,49.512774686211586,45.747366106226515,
