FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.02,0.004,22.632427133447585,33.05260874363245,25.261734548695877,
0.02,0.005,24.962551643597116,36.900032420178135,26.967073331665222,
0.02,0.006666666666666666,27.911640071043248,42.06904203151693,29.346792039945502,
0.02,0.008333333333333333,30.080428364242575,42.78935679309925,31.18837668476686,
0.02,0.009999999999999998,31.989713250728364,46.33667804438401,32.97658355039502,
0.02,0.011666666666666665,33.11446918277545,45.25088743854385,34.048363129744324,
0.02,0.013000000000000001,34.25547992091609,48.39075151169876,34.91032553980113,
0.02,0.013333333333333332,34.52934473277333,48.04688872308325,35.18244027918213,
0.02,0.015,35.81032411186351,52.78131257768376,36.379747797081684,
0.02,0.016666666666666666,36.528667510603114,51.03570206445646,37.08996033023119,
0.02,0.018333333333333333,37.071152779889076,53.40365338001628,37.54458960384562,
0.02,0.019,37.158574274550375,50.09564745013044,37.8883979236379,
0.02,0.02,36.91208484068212,46.46884618178643,38.4223681877961,
0.02,0.022000000000000002,28.140114466065114,34.51248516511728,39.71992854977663,
0.02,0.022000000000000002,28.140114466065114,34.51248516511728,39.71992854977663,
0.02,0.031000000000000003,11.485987942394736,12.113829860656416,38.81904078035426,
0.02,0.04,7.660225600258141,7.893289014290438,37.44908650651277,
0.03,0.004,26.72844854537172,40.494150080223086,27.399268924679024,
0.03,0.005,28.792274816252892,40.56023083546519,29.397403592247542,
0.03,0.0077777777777777776,30.60264582924625,39.71085227224428,32.016769894052764,
0.03,0.010555555555555554,34.19352147407429,47.98632557768101,34.71566796140885,
0.03,0.013000000000000001,36.15301591937505,53.79743915237006,36.61224594827974,
0.03,0.013333333333333332,36.37247451304221,54.227618304394014,36.803229320227416,
0.03,0.01611111111111111,38.030785943448166,55.05638560956101,38.30446452241678,
0.03,0.01888888888888889,39.320530998652664,57.87573886048233,39.59388612195721,
0.03,0.021666666666666664,40.41705703545732,58.93265401539488,40.62838354820212,
0.03,0.022000000000000002,40.41341469370086,57.95925058416287,40.591835423783714,
0.03,0.024444444444444442,41.30343802891591,59.17237830039454,41.452670065652065,
0.03,0.02722222222222222,42.34289897189679,59.434615701661215,42.499979727909604,
0.03,0.028499999999999998,42.286648150905,57.325291422942044,42.777131762400664,
0.03,0.03,41.24987264461882,49.65610408909562,42.87955357070249,
0.03,0.031000000000000003,41.30176375696394,52.10818903904744,43.639154683356836,
0.03,0.033,27.064865258223602,32.20611534971604,43.839131326583775,
0.03,0.04,15.06561668609756,16.41414543054158,42.242398952678435,
