FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.02,0.004,27.718293488254126,43.98000772434699,27.918794478502036,
0.02,0.005,29.476770652020505,47.290121516330856,29.656972130225764,
0.02,0.006666666666666666,24.208745659855747,32.559329381913585,28.503665462933046,
0.02,0.008333333333333333,27.750336354140572,39.03898612997288,30.058217302707256,
0.02,0.009999999999999998,30.05082603213076,42.23153693072608,31.474302709127375,
0.02,0.011666666666666665,31.92271525525607,44.69856237487583,32.97833004805486,
0.02,0.013000000000000001,33.04147822809518,46.96551706628812,33.902235065791295,
0.02,0.013333333333333332,32.42067469759317,43.832530344245995,33.823392242815274,
0.02,0.015,34.33343273278076,48.61939914796176,35.02840686228241,
0.02,0.016666666666666666,35.409328652693596,48.99536165624989,36.00699729645241,
0.02,0.018333333333333333,36.307828585180715,50.8900989525601,36.91217198396858,
0.02,0.019,36.01106256143814,48.37106876069764,37.09897749270488,
0.02,0.02,35.53687131704524,43.318806810352136,37.51973086656699,
0.02,0.022000000000000002,26.118969411481658,31.839727046993126,38.35401448231209,
0.02,0.022000000000000002,26.118969411481658,31.839727046993126,38.35401448231209,
0.02,0.031000000000000003,11.116246530367057,11.704839984212605,37.90652146704359,
0.02,0.04,7.344091634640523,7.579703943719181,36.62909202794407,
0.03,0.004,26.12345886128641,40.40154327010841,26.89706152542344,
0.03,0.005,28.28031926226879,43.63567255089235,28.996213946225545,
0.03,0.0077777777777777776,32.01139055492928,47.892171004459065,32.513917954532346,
0.03,0.010555555555555554,35.0236346842448,52.93872444571242,35.3717075159139,
0.03,0.013000000000000001,34.208249067298325,47.75356783910624,35.0143431956197,
0.03,0.013333333333333332,34.71852127195135,47.89315084285678,35.45192326067116,
0.03,0.01611111111111111,36.83754617020115,51.888012141116526,37.312573573790715,
0.03,0.01888888888888889,38.419879413832334,54.0929690842484,38.86399587697197,
0.03,0.021666666666666664,39.33697721478714,54.59306819358932,39.77153293314284,
0.03,0.022000000000000002,39.60577640672825,55.03218554493024,39.990856614425034,
0.03,0.024444444444444442,40.73183645917332,55.37123269556603,41.0923197271282,
0.03,0.02722222222222222,41.35852321200362,53.54710888476159,41.81390281746239,
0.03,0.028499999999999998,40.97809212078275,49.52250163609598,42.00857124697748,
0.03,0.03,39.61883798735506,44.88255316003432,42.414457641496824,
0.03,0.031000000000000003,36.936124000593324,44.884981916517,42.914146372711,
0.03,0.033,25.09133171291896,29.753838190841677,42.80172693867299,
0.03,0.04,14.487680886833953,15.736772643076705,41.57823655297868,
0.04,0.004,25.827721892235957,35.79025578895766,26.793444381198064,
0.04,0.005,28.59127103487109,40.144899333107915,29.28976725084818,
0.04,0.008888888888888889,33.505984152362885,47.37946880378834,34.02938921187864,
0.04,0.012777777777777779,36.629057864207304,50.72643566472036,37.331953131189906,
0.04,0.013000000000000001,36.88392637236687,51.46456209909145,37.46166422054135,
0.04,0.016666666666666666,37.36393475171801,48.35943524779778,38.53824930296475,
0.04,0.020555555555555556,39.913289713718825,50.924034325745964,40.56538227037551,
0.04,0.022000000000000002,40.37217260304771,49.6223733262669,41.20763102554774,
0.04,0.024444444444444446,41.373064590866306,50.941073093141775,42.19797037874456,
0.04,0.028333333333333335,42.545628443867365,52.6730673391682,43.275094972106345,
0.04,0.031000000000000003,43.3275493292259,54.86542443865296,43.923087334380966,
0.04,0.03222222222222222,43.83027531292182,56.91902782747056,44.42861618628193,
0.04,0.036111111111111115,44.65374264571842,58.225341953316835,45.16582961648123,
0.04,0.038,44.46715206623431,53.185715924297725,45.54937874784666,
0.04,0.04,42.810600884075726,48.089723934826296,45.88803150841956,
0.04,0.04,42.810600884075726,48.089723934826296,45.88803150841956,
0.04,0.044000000000000004,25.44082357883704,29.92030288546839,45.19781985102728,
0.05,0.004,27.474396498560047,41.56451195719578,27.856758787737206,
0.05,0.005,29.36829973977956,44.4384344115623,29.826488250636633,
0.05,0.010000000000000002,35.484340440035595,51.269041410098254,35.79939492054138,
0.05,0.013000000000000001,37.71143973574481,52.83719948670798,37.97974715342495,
0.05,0.015000000000000003,38.78797439476464,53.44306367054645,39.119067521697275,
0.05,0.020000000000000004,41.251899172440886,58.650294521162536,41.53236357975041,
0.05,0.022000000000000002,41.42273687661291,53.44383012595881,42.02577358320027,
0.05,0.025000000000000005,42.49569351878143,51.985204978855556,43.16163549627162,
0.05,0.030000000000000006,44.134170602293054,55.607337276482916,44.70638882018599,
0.05,0.031000000000000003,44.45645725871488,54.86997058568892,45.08348508969274,
0.05,0.035,45.4175675592429,56.63436686229812,46.0109947576605,
0.05,0.04,46.4899719447962,57.098869040608534,47.12765664607342,
0.05,0.04,46.4899719447962,57.098869040608534,47.12765664607342,
0.05,0.045000000000000005,47.19890187396267,59.86432205359853,47.77893978920304,
0.05,0.0475,47.07631127495418,56.028914762056154,48.22619571922422,
0.05,0.05,45.389411750070614,50.93719857693561,48.278495318969064,
0.05,0.05500000000000001,25.94180232291744,30.45794922919797,47.19445141465467,
0.06,0.004,27.61024221016215,43.20779314311146,27.994450581832005,
0.06,0.005,29.576912958727117,45.3722097805763,29.856909434282855,
0.06,0.011111111111111112,36.15812662135077,51.29356182569852,36.519044355524585,
0.06,0.013000000000000001,37.75205550434262,51.25723261991979,38.17750952306885,
0.06,0.017222222222222222,40.35513745830767,55.69042955524815,40.618034828874215,
0.06,0.022000000000000002,42.523509272813754,60.72467336731489,42.765430218035874,
0.06,0.023333333333333334,42.94191458313897,60.94271058854359,43.127818885461494,
0.06,0.029444444444444447,44.40926563651153,54.524107405188644,44.993249358433374,
0.06,0.031000000000000003,44.89052270669554,54.850278840061776,45.50376649101695,
0.06,0.035555555555555556,46.016419408324374,56.26025897944535,46.66480470590975,
0.06,0.04,47.07689999080716,59.47212530951765,47.67372144426097,
0.06,0.041666666666666664,47.36608373846291,59.56017542174759,47.936591623945546,
0.06,0.04777777777777778,48.46977114076673,59.58209789296697,49.0529237554959,
