FS, Input, SNDR, SFDR, SNR, CIC_Bias
FS, Input, SNDR, SFDR, SNR, CIC_Bias
FS, Input, SNDR, SFDR, SNR, CIC_Bias
0.09,0.004,27.256100472890292,49.12728282171619,56.06120630030854,
0.09,0.005,29.028478627946477,43.78178123767596,55.96711779050079,
0.09,0.013000000000000001,37.23565108178529,51.79850321707332,55.81916342574071,
0.09,0.014444444444444444,38.183986978293,56.832526779202055,55.76582461750878,
0.09,0.022000000000000002,41.718221578254685,56.07804012076268,55.720641920014145,
0.09,0.023888888888888887,42.41676618413329,55.73588412733187,55.71310471087855,
0.09,0.031000000000000003,44.42770483031886,57.419666579440175,55.56772852723487,
0.09,0.033333333333333326,45.01735720297626,55.712656092058495,55.622999767533926,
0.09,0.04,46.52883066828306,56.77894661063739,55.615150407410525,
0.09,0.04277777777777777,47.152326644247,58.91524516381021,55.597284156312625,
0.09,0.05222222222222221,48.09672786181874,55.06772170215788,55.44066602701669,
0.09,0.061666666666666654,49.66106129814456,57.27247297039702,55.60448276576651,
0.09,0.0711111111111111,50.84354275999083,60.43341458599197,55.39800073035646,
0.09,0.08055555555555555,51.943333110060834,61.16922969094546,55.44848197948329,
0.09,0.08549999999999999,52.29115950923989,61.75674873381671,55.30441327462484,
0.09,0.09,52.70647106252415,61.94698696051968,55.253232805482725,
0.09,0.099,51.62563774109182,56.7570093795524,55.0447446952462,
